Id,type,POINT_X,POINT_Y
1097,ADE,-51.23637,-1.88848
1098,ADE,-51.445763,-1.450659
1099,ADE,-51.598048,-1.483971
1100,ADE,-51.783646,-1.607703
1101,ADE,-51.974003,-1.7124
1102,ADE,-50.465425,-1.75523
1103,ADE,-47.836914,-0.831999
1104,ADE,-53.137401,-1.100878
1105,ADE,-53.05174,-1.135142
1106,ADE,-52.680544,-1.489206
1107,ADE,-52.514934,-1.380703
1108,ADE,-52.355034,-1.226514
1109,ADE,-51.681171,0.235427
1110,ADE,-51.544114,0.252559
1111,ADE,-51.829649,-0.021555
1112,ADE,-51.521271,-0.107215
1113,ADE,-51.378503,0.064106
1114,ADE,-51.092968,0.064106
1115,ADE,-51.264289,0.629466
1116,ADE,-51.195761,0.897869
1117,ADE,-50.561872,0.846473
1118,ADE,-50.716061,0.783655
1119,ADE,-50.681797,0.49812
1120,ADE,-50.105016,0.829341
1121,ADE,-50.133569,0.126924
1122,ADE,-49.945116,0.149767
1123,ADE,-49.568209,-0.038687
1124,ADE,-50.693218,1.314751
1125,ADE,-50.693218,1.58125
1126,ADE,-50.86454,1.685947
1127,ADE,-50.712254,1.933411
1128,ADE,-50.902611,1.961964
1129,ADE,-51.540307,3.418194
1130,ADE,-46.675102,-1.172579
1131,ADE,-46.608477,-1.048847
1132,geoglyphs,-64.365072,-9.307872
1133,geoglyphs,-64.016719,-9.069926
1134,geoglyphs,-64.113801,-8.772969
1135,geoglyphs,-69.744557,-9.095624
1136,geoglyphs,-69.31665,-8.882501
1137,geoglyphs,-68.902228,-8.784391
1138,geoglyphs,-68.719485,-8.872907
1139,geoglyphs,-68.733762,-9.155587
1140,geoglyphs,-68.616693,-9.189851
1141,geoglyphs,-68.67951,-9.195562
1142,geoglyphs,-68.585284,-9.14131
1143,geoglyphs,-68.522466,-9.121323
1144,geoglyphs,-68.553875,-8.995687
1145,geoglyphs,-68.610982,-9.021385
1146,geoglyphs,-69.027863,-10.060734
1147,geoglyphs,-68.99931,-10.785993
1148,geoglyphs,-68.91936,-10.868799
1149,geoglyphs,-68.619548,-10.945893
1150,geoglyphs,-68.208377,-10.88022
1151,geoglyphs,-66.826386,-10.500458
1152,geoglyphs,-67.012222,-9.668837
1153,geoglyphs,-66.857557,-9.737841
1154,geoglyphs,-66.695754,-9.773533
1155,geoglyphs,-66.598196,-9.69977
1156,geoglyphs,-66.655303,-9.790189
1157,geoglyphs,-66.538709,-9.806845
1158,geoglyphs,-66.419736,-9.78781
1159,geoglyphs,-66.4007,-9.685493
1160,geoglyphs,-66.495879,-9.621247
1161,geoglyphs,-66.255553,-9.576038
1162,geoglyphs,-66.286486,-9.709287
1163,geoglyphs,-66.157995,-9.7426
1164,geoglyphs,-66.342642,-9.822074
1165,geoglyphs,-66.172272,-9.646945
1166,geoglyphs,-66.04283,-9.780195
1167,geoglyphs,-65.932423,-9.544153
1168,geoglyphs,-65.96288,-9.54796
1169,geoglyphs,-65.738259,-9.624103
1170,geoglyphs,-67.325835,-9.529876
1171,geoglyphs,-67.257306,-9.566996
1172,geoglyphs,-67.211621,-9.452781
1173,geoglyphs,-67.151658,-9.621247
1174,geoglyphs,-67.160224,-9.444215
1175,geoglyphs,-67.397219,-9.489901
1176,geoglyphs,-67.562829,-9.447071
1177,geoglyphs,-67.551408,-9.47848
1178,geoglyphs,-67.617081,-9.452781
1179,geoglyphs,-67.497156,-9.175812
1180,geoglyphs,-67.442904,-9.155825
1181,geoglyphs,-67.280149,-9.241485
1182,geoglyphs,-67.263017,-9.104428
1183,geoglyphs,-67.194489,-9.07873
1184,geoglyphs,-67.24874,-8.967371
1185,geoglyphs,-67.214476,-8.881711
1186,geoglyphs,-67.208765,-8.821748
1187,geoglyphs,-67.308703,-8.758931
1188,geoglyphs,-67.420062,-8.633295
1189,geoglyphs,-67.188778,-8.736088
1190,geoglyphs,-67.071709,-8.79034
1191,geoglyphs,-67.020312,-8.793195
1192,geoglyphs,-67.000325,-8.856013
1193,geoglyphs,-69.111097,-11.320071
1194,geoglyphs,-69.116808,-11.217279
1195,geoglyphs,-69.105386,-10.994561
1196,geoglyphs,-68.55084,-10.559074
1197,geoglyphs,-68.426918,-10.651588
1198,geoglyphs,-68.414354,-10.658441
1199,geoglyphs,-68.336118,-10.66872
1200,geoglyphs,-68.314417,-10.667007
1201,geoglyphs,-68.371524,-10.784076
1202,geoglyphs,-68.189924,-10.757807
1203,geoglyphs,-68.151091,-10.761233
1204,geoglyphs,-68.179073,-10.714977
1205,geoglyphs,-68.169936,-10.701842
1206,geoglyphs,-68.157944,-10.7007
1207,geoglyphs,-68.095697,-10.656727
1208,geoglyphs,-68.074567,-10.619608
1209,geoglyphs,-68.040303,-10.616181
1210,geoglyphs,-67.975772,-10.58877
1211,geoglyphs,-67.971203,-10.592197
1212,geoglyphs,-67.915239,-10.602476
1213,geoglyphs,-67.907244,-10.612755
1214,geoglyphs,-67.884972,-10.617895
1215,geoglyphs,-67.814159,-10.623605
1216,geoglyphs,-67.811304,-10.608758
1217,geoglyphs,-67.803309,-10.597907
1218,geoglyphs,-67.714793,-10.663009
1219,geoglyphs,-67.691379,-10.670433
1220,geoglyphs,-67.727927,-10.601905
